,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
0,100.0,100.0,69140,0,0,-4,4,0,2,0.0,4.8,1,Shkodran,4.3,1,False,,2020-01-27T22:30:15.833744Z,51,69140.jpg,3.2,Mustafi,0.4,False,,a,1,3,26,14462,780,36185,523,0.8,5.1,Mustafi,620,0,2,2,9,0,0,0,0,0,0,1,144,174.2,15.4,107.0,29.8
1,100.0,100.0,98745,0,0,-1,1,0,2,0.0,5.5,1,Héctor,5.0,2,False,,2019-12-09T20:00:21.228098Z,54,98745.jpg,3.4,Bellerín,1.0,False,,a,1,3,24,109934,3136,55091,6375,0.9,4.4,Bellerín,622,1,0,2,10,0,0,0,2,0,0,3,113,116.6,37.7,38.0,19.4
2,0.0,100.0,111457,0,0,-3,3,0,2,0.0,0.8,1,Sead,0.3,3,False,Shoulder injury - Unknown return date,2020-02-23T18:30:13.672943Z,52,111457.jpg,2.1,Kolasinac,0.5,False,,i,1,3,35,55447,35,126724,415,0.1,6.7,Kolasinac,1103,0,2,2,19,0,0,0,3,0,0,1,222,190.0,157.3,67.0,41.2
3,100.0,100.0,154043,-1,1,-5,5,1,2,0.0,0.5,0,Ainsley,0.0,4,False,,2019-09-22T18:00:10.824841Z,45,154043.jpg,2.6,Maitland-Niles,2.4,False,,a,1,3,36,589926,200,623119,2761,0.0,8.0,Maitland-Niles,1210,0,2,3,19,0,0,0,3,1,0,3,216,261.8,155.4,37.0,44.9
4,100.0,75.0,39476,-1,1,-2,2,1,2,0.0,0.4,0,Sokratis,0.0,5,False,,2020-02-21T01:30:19.929771Z,48,39476.jpg,2.9,Papastathopoulos,1.3,False,,a,1,3,52,144058,211,190471,1744,0.0,10.8,Sokratis,1606,2,0,3,25,0,0,0,5,0,0,5,286,431.6,31.8,106.0,57.1
5,0.0,0.0,38411,0,0,0,0,0,2,0.0,0.0,0,Nacho,0.0,6,False,Joined Real Sociedad on a permanent deal on 31/8,2019-08-31T11:30:14.661839Z,50,38411.jpg,3.3,Monreal,0.2,False,,u,1,3,10,28152,6,88908,30,0.0,2.0,Monreal,270,0,0,1,4,0,0,0,0,0,0,1,54,47.2,40.8,12.0,10.0
6,0.0,0.0,51507,0,0,0,0,0,2,0.0,0.0,0,Laurent,0.0,7,False,Joined Bordeaux on a permanent deal on 6/8.,2019-08-08T11:00:09.045030Z,50,51507.jpg,0.0,Koscielny,0.1,False,,u,1,3,0,620,8,12709,13,0.0,0.0,Koscielny,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
7,0.0,0.0,233963,0,0,-1,1,0,2,0.0,0.0,0,Konstantinos,0.0,8,False,Joined Nuremberg on loan until the end of the season on 13/1. - Expected back 01 Jul,2020-01-13T14:30:21.309535Z,44,233963.jpg,0.0,Mavropanos,0.0,False,,n,1,3,0,1095,1,4862,15,0.0,0.0,Mavropanos,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
8,0.0,0.0,80254,0,0,0,0,0,2,0.0,0.0,0,Carl,0.0,9,False,Joined Nottingham Forest on a permanent deal on 7/8.,2019-08-07T17:00:10.875251Z,45,80254.jpg,0.0,Jenkinson,0.0,False,,u,1,3,0,430,4,2599,6,0.0,0.0,Jenkinson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
9,100.0,100.0,156074,0,0,0,0,0,2,0.0,0.5,0,Rob,0.0,10,False,,2019-12-09T10:00:19.335279Z,45,156074.jpg,1.0,Holding,0.1,False,,a,1,3,2,12006,39,14696,131,0.0,0.4,Holding,85,0,0,0,3,0,0,0,0,0,0,0,13,13.4,0.4,2.0,1.6
10,100.0,100.0,54694,0,0,-1,1,3,4,0.0,8.2,13,Pierre-Emerick,7.7,11,True,,2020-01-08T14:00:18.333339Z,109,54694.jpg,6.0,Aubameyang,19.0,False,,a,1,3,150,2345530,140121,2835414,52060,0.7,13.8,Aubameyang,2213,17,3,6,33,0,0,0,3,1,0,29,589,734.4,347.3,973.0,205.3
11,100.0,100.0,59966,0,0,-2,2,1,4,0.0,4.2,0,Alexandre,3.7,12,False,,2019-09-01T18:30:14.246208Z,93,59966.jpg,3.7,Lacazette,2.1,False,,a,1,3,71,316041,2932,430813,12402,0.4,7.6,Lacazette,1280,6,4,3,18,0,0,0,5,0,0,7,245,346.0,275.2,647.0,127.0
12,100.0,100.0,205533,0,0,-2,2,0,4,0.0,3.8,7,Edward,3.3,13,False,,2019-08-08T15:30:15.638344Z,43,205533.jpg,2.8,Nketiah,0.8,False,,a,1,3,11,77635,10476,129008,2196,0.8,2.6,Nketiah,191,1,0,1,3,0,0,0,0,0,0,1,29,32.6,17.0,78.0,12.8
13,,,80201,0,0,0,0,1,1,0.0,5.5,2,Bernd,5.0,14,False,,,50,80201.jpg,3.6,Leno,5.1,False,,a,1,3,97,437143,2735,492721,7470,1.0,19.4,Leno,2430,0,0,6,36,0,1,0,2,0,98,6,527,738.6,0.0,0.0,73.7
14,100.0,100.0,37605,0,0,-3,3,0,3,0.0,4.5,2,Mesut,4.0,15,False,,2019-12-20T10:30:11.550604Z,72,37605.jpg,2.8,Özil,1.2,False,,a,1,3,47,130930,3390,178484,4508,0.6,6.5,Özil,1351,1,2,4,20,0,0,0,1,0,0,1,233,204.2,564.8,162.0,93.2
15,0.0,0.0,57249,0,0,-2,2,0,3,0.0,0.0,0,Henrikh,0.0,16,False,Joined Roma on loan until the end of the season on 2/9. - Expected back 01 Jul,2019-09-02T23:30:14.832021Z,68,57249.jpg,1.3,Mkhitaryan,0.8,False,,n,1,3,4,22975,6,116374,61,0.0,0.6,Mkhitaryan,110,0,0,1,0,0,0,0,1,0,0,0,3,5.4,33.9,46.0,8.6
16,100.0,100.0,84450,0,0,-4,4,0,3,0.0,2.5,2,Granit,2.0,18,False,,2019-12-29T14:30:26.292159Z,51,84450.jpg,2.1,Xhaka,0.6,False,,a,1,3,44,41649,660,106791,618,0.4,8.6,Xhaka,1814,0,1,6,25,0,0,0,7,0,0,0,276,322.6,233.3,84.0,64.3
17,100.0,75.0,198849,0,0,-3,3,0,3,0.0,0.9,1,Lucas,0.7,19,False,,2020-02-19T14:30:22.859013Z,47,198849.jpg,1.8,Torreira,1.2,False,,a,1,3,44,92557,344,163303,2064,0.1,9.4,Torreira,1365,1,1,3,20,0,0,0,4,0,0,0,238,271.8,200.7,199.0,67.3
18,0.0,0.0,153256,0,0,-2,2,0,3,0.0,0.0,0,Mohamed,0.0,20,False,Joined Besiktas on loan until the end of the season on 31/8. - Expected back 01 Jul,2019-08-31T11:30:14.714406Z,43,153256.jpg,0.0,Elneny,0.6,False,,n,1,3,0,123272,106,119360,608,0.0,0.0,Elneny,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
