Team,Player,Pos,Apps,Min,G,NPG,A,Sh90,KP90,xG,xG Change,NPxG,NPxG Change,xA,xA Change,xGChain,xGBuildup,xG90,NPxG90,xA90,xG90 + xA90,NPxG90 + xA90,xGChain90,xGBuildup90,Yellow Flag,Red Flag
Liverpool,Mohamed Salah,F,25,2175,15,12,6,3.97,1.82,15.28,+0.28,12.99,+0.99,6.71,+0.71,23.25,6.76,0.63,0.54,0.28,0.91,0.82,0.96,0.28,1,0
Liverpool,Sadio Mane,F M,25,2000,13,13,6,2.56,1.75,12.30,-0.70,12.30,-0.70,4.75,-1.25,19.37,4.89,0.55,0.55,0.21,0.77,0.77,0.87,0.22,2,0
Liverpool,Roberto Firmino,F M,28,2355,8,8,7,3.21,1.49,14.26,+6.26,14.26,+6.26,6.29,-0.71,24.29,8.09,0.55,0.55,0.24,0.79,0.79,0.93,0.31,0,0
Liverpool,Virgil van Dijk,D,28,2520,4,4,0,0.79,0.11,1.65,-2.35,1.65,-2.35,0.41,+0.41,9.94,9.83,0.06,0.06,0.01,0.07,0.07,0.36,0.35,1,0
Liverpool,Divock Origi,F,21,494,3,3,1,2.00,1.09,1.99,-1.01,1.99,-1.01,0.70,-0.30,3.26,0.80,0.36,0.36,0.13,0.49,0.49,0.59,0.15,0,0
Liverpool,Jordan Henderson,M,25,1898,3,3,5,0.71,1.23,0.92,-2.08,0.92,-2.08,4.12,-0.88,12.72,9.21,0.04,0.04,0.20,0.24,0.24,0.60,0.44,1,0
Liverpool,Georginio Wijnaldum,M,27,2270,3,3,0,1.07,0.36,1.52,-1.48,1.52,-1.48,0.54,+0.54,8.70,7.02,0.06,0.06,0.02,0.08,0.08,0.34,0.28,0,0
Liverpool,Alex Oxlade-Chamberlain,F M,20,1040,3,3,0,2.42,1.13,1.96,-1.04,1.96,-1.04,0.66,+0.66,4.28,1.98,0.17,0.17,0.06,0.23,0.23,0.37,0.17,1,0
Liverpool,James Milner,D M,17,646,2,0,2,1.53,1.25,2.10,+0.10,0.58,+0.58,0.90,-1.10,5.86,5.04,0.29,0.08,0.13,0.42,0.21,0.82,0.70,3,0
Liverpool,Trent Alexander-Arnold,D,28,2467,2,2,12,1.31,2.66,2.58,+0.58,2.58,+0.58,9.55,-2.45,16.70,10.56,0.09,0.09,0.35,0.44,0.44,0.61,0.39,4,0
Liverpool,Joel Matip,D,8,631,1,1,0,0.43,0.14,0.17,-0.83,0.17,-0.83,0.02,+0.02,1.35,1.33,0.02,0.02,0.00,0.03,0.03,0.19,0.19,0,0
Liverpool,Adam Lallana,M,14,360,1,1,1,1.25,1.00,0.80,-0.20,0.80,-0.20,0.65,-0.35,3.14,1.74,0.20,0.20,0.16,0.36,0.36,0.79,0.44,1,0
Liverpool,Xherdan Shaqiri,M,6,170,1,1,0,2.12,1.59,0.54,-0.46,0.54,-0.46,0.18,+0.18,0.72,0.04,0.29,0.29,0.09,0.38,0.38,0.38,0.02,0,0
Liverpool,Andrew Robertson,D,28,2448,1,1,7,0.63,1.58,1.55,+0.55,1.55,+0.55,6.12,-0.88,15.13,10.84,0.06,0.06,0.23,0.28,0.28,0.56,0.40,1,0
Liverpool,Fabinho,M,19,1344,1,1,1,0.54,1.07,0.15,-0.85,0.15,-0.85,1.17,+0.17,7.16,6.40,0.01,0.01,0.08,0.09,0.09,0.48,0.43,5,0
Liverpool,Naby Keita,M,9,358,1,1,1,1.76,2.01,1.49,+0.49,1.49,+0.49,1.54,+0.54,6.09,3.59,0.37,0.37,0.39,0.76,0.76,1.53,0.90,1,0
