Team,First Name,Last Name,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA
Liverpool,Mohamed,Salah,F,1,90,2,0,4.00,3.00,1.34,0.96
Liverpool,Jordan,Henderson,M,1,89,1,1,2.02,2.02,0.17,0.42
Liverpool,Alex,Oxlade-Chamberlain,F,1,74,1,0,2.43,1.22,0.06,0.03
Liverpool,Roberto,Firmino,F,1,90,0,3,3.00,4.00,1.19,1.02
Liverpool,Adam,Lallana,S,1,1,0,0,0.00,0.00,0.00,0.00
Liverpool,Georginio,Wijnaldum,M,1,82,0,0,1.10,1.10,0.11,0.02
Liverpool,Virgil,van Dijk,D,1,90,0,0,1.00,0.00,0.33,0.00
Liverpool,Joseph,Gomez,D,1,90,0,0,0.00,0.00,0.00,0.00
Liverpool,Alisson,,GK,1,90,0,0,0.00,0.00,0.00,0.00
Liverpool,Andrew,Robertson,D,1,90,0,0,0.00,0.00,0.00,0.00
Liverpool,Trent,Alexander-Arnold,D,1,90,0,0,1.00,0.00,0.07,0.00
Liverpool,Fabinho,,M,1,90,0,0,1.00,1.00,0.02,0.11
Liverpool,Naby,Keita,S,1,16,0,0,0.00,5.63,0.00,0.65
Liverpool,Takumi,Minamino,S,1,8,0,0,11.25,0.00,0.50,0.00
Manchester City,Ilkay,Gundogan,M,1,90,0,0,2.00,2.00,1.34,0.56
Manchester City,Kevin,De Bruyne,M,1,90,0,0,3.00,3.00,0.13,0.17
Manchester City,Nicolas,Otamendi,D,1,90,0,0,0.00,0.00,0.00,0.00
Manchester City,Fernandinho,,D,1,90,0,0,1.00,0.00,0.03,0.00
Manchester City,Raheem,Sterling,F,1,88,0,0,1.02,2.05,0.54,0.72
Manchester City,Sergio,Aguero,F,1,68,0,0,7.94,0.00,1.00,0.00
Manchester City,Kyle,Walker,D,1,90,0,0,0.00,1.00,0.00,0.09
Manchester City,Riyad,Mahrez,F,1,76,0,0,1.18,2.37,0.03,0.10
Manchester City,Joao,Cancelo,S,1,22,0,0,0.00,0.00,0.00,0.00
Manchester City,Rodri,,M,1,90,0,0,1.00,1.00,0.01,0.03
Manchester City,Oleksandr,Zinchenko,D,1,64,0,0,1.41,0.00,0.02,0.00
Manchester City,Bernardo,Silva,S,1,2,0,0,45.00,45.00,0.11,0.03
Manchester City,Gabriel,Jesus,S,1,14,0,0,6.43,0.00,0.03,0.00
Manchester City,Ederson,,GK,1,90,0,0,0.00,0.00,0.00,0.00
