id,goals,assists,cleansheets,influence,creativity,threat,ict,minutes,gw
14,0,0,1,18.0,0.0,0.0,1.8,90,1
27,0,0,0,0.0,0.0,0.0,0.0,0,1
47,0,0,1,25.4,0.0,0.0,2.5,90,1
48,0,0,0,0.0,0.0,0.0,0.0,0,1
72,0,0,0,0.0,0.0,0.0,0.0,0,1
73,0,0,0,0.0,0.0,0.0,0.0,0,1
74,0,0,0,0.0,0.0,0.0,0.0,0,1
93,0,0,1,25.6,10.0,0.0,3.6,90,1
94,0,0,0,24.2,0.0,0.0,2.4,90,1
95,0,0,0,0.0,0.0,0.0,0.0,0,1
111,0,0,0,7.0,0.0,0.0,0.7,90,1
112,0,0,0,0.0,0.0,0.0,0.0,0,1
131,0,0,1,14.0,0.0,0.0,1.4,90,1
132,0,0,0,0.0,0.0,0.0,0.0,0,1
148,0,0,1,20.8,0.0,0.0,2.1,90,1
149,0,0,0,0.0,0.0,0.0,0.0,0,1
168,0,0,1,15.8,0.0,0.0,1.6,90,1
169,0,0,0,0.0,0.0,0.0,0.0,0,1
170,0,0,0,0.0,0.0,0.0,0.0,0,1
189,0,0,0,5.6,0.0,0.0,0.6,38,1
190,0,0,0,0.0,0.0,0.0,0.0,0,1
212,0,0,1,28.8,0.0,0.0,2.9,90,1
213,0,0,0,0.0,0.0,0.0,0.0,0,1
235,0,0,1,43.0,0.0,0.0,4.3,90,1
236,0,0,0,0.0,0.0,0.0,0.0,0,1
237,0,0,0,0.0,0.0,0.0,0.0,0,1
262,0,0,0,11.0,0.0,0.0,1.1,90,1
263,0,0,0,0.0,0.0,0.0,0.0,0,1
264,0,0,0,0.0,0.0,0.0,0.0,0,1
280,0,0,0,30.4,0.0,0.0,3.0,90,1
281,0,0,0,0.0,0.0,0.0,0.0,0,1
299,0,0,0,0.0,0.0,0.0,0.0,0,1
317,0,0,0,0.0,0.0,0.0,0.0,0,1
318,0,0,0,0.0,0.0,0.0,0.0,0,1
319,0,0,0,9.8,0.0,0.0,1.0,90,1
340,0,0,0,21.4,0.0,0.0,2.1,90,1
341,0,0,0,0.0,0.0,0.0,0.0,0,1
366,0,0,0,10.0,0.0,0.0,1.0,90,1
367,0,0,0,0.0,0.0,0.0,0.0,0,1
388,0,0,0,28.4,0.0,0.0,2.8,90,1
411,0,0,1,7.6,0.0,0.0,0.8,90,1
412,0,0,0,0.0,0.0,0.0,0.0,0,1
413,0,0,0,0.0,0.0,0.0,0.0,0,1
427,0,0,0,0.0,0.0,0.0,0.0,0,1
429,0,0,0,0.0,0.0,0.0,0.0,0,1
436,0,0,0,0.0,0.0,0.0,0.0,0,1
449,0,0,0,0.0,0.0,0.0,0.0,0,1
450,0,0,0,0.0,0.0,0.0,0.0,0,1
471,0,0,0,13.6,0.0,0.0,1.4,90,1
474,0,0,0,0.0,0.0,0.0,0.0,0,1
479,0,0,0,0.0,0.0,0.0,0.0,0,1
494,0,0,0,9.8,0.0,0.0,1.0,90,1
495,0,0,0,0.0,0.0,0.0,0.0,0,1
513,0,0,0,0.0,0.0,0.0,0.0,0,1
521,0,0,0,0.0,0.0,0.0,0.0,0,1
526,0,0,0,10.6,0.0,0.0,1.1,51,1
1,0,0,0,0.0,0.0,0.0,0.0,0,1
2,0,0,0,0.0,0.0,0.0,0.0,0,1
3,0,0,0,0.0,0.0,0.0,0.0,0,1
4,0,1,1,38.4,12.3,0.0,5.1,90,1
5,0,0,1,20.2,0.4,0.0,2.1,90,1
6,0,0,1,14.0,15.6,4.0,3.4,90,1
7,0,0,0,0.0,0.0,0.0,0.0,0,1
8,0,0,0,0.0,0.0,0.0,0.0,0,1
9,0,0,0,0.0,0.0,0.0,0.0,0,1
10,0,0,0,0.0,0.0,0.0,0.0,0,1
22,0,0,0,13.4,1.0,0.0,1.4,90,1
23,0,0,0,0.0,0.0,0.0,0.0,0,1
24,0,0,0,24.2,1.0,0.0,2.5,90,1
25,0,0,0,0.0,0.0,0.0,0.0,0,1
37,0,0,1,22.6,0.2,2.0,2.5,90,1
38,0,0,1,13.0,12.6,2.0,2.8,90,1
39,0,0,0,0.0,0.4,0.0,0.0,1,1
40,0,0,0,0.0,0.0,0.0,0.0,0,1
41,0,0,0,0.0,0.0,0.0,0.0,0,1
42,0,1,1,35.6,13.3,2.0,5.1,90,1
43,0,0,0,0.0,0.0,0.0,0.0,0,1
58,0,0,0,14.2,0.1,4.0,1.8,90,1
59,0,0,0,16.4,21.7,22.0,6.0,90,1
60,0,0,0,0.0,0.0,0.0,0.0,0,1
61,1,0,0,47.4,1.2,68.0,11.7,90,1
62,0,0,0,0.0,0.0,0.0,0.0,0,1
63,0,0,0,3.4,7.0,4.0,1.4,90,1
64,0,0,0,0.0,0.0,0.0,0.0,0,1
65,0,0,0,21.0,16.6,3.0,4.1,90,1
66,0,0,0,0.0,0.0,0.0,0.0,0,1
83,0,0,1,21.2,0.1,2.0,2.3,90,1
84,0,0,1,18.0,0.2,36.0,5.4,90,1
85,0,0,1,14.2,15.3,2.0,3.2,90,1
86,0,0,0,0.0,0.0,0.0,0.0,0,1
87,0,0,0,0.0,0.0,0.0,0.0,0,1
88,0,0,0,0.0,0.0,0.0,0.0,0,1
89,0,0,0,0.0,0.0,0.0,0.0,0,1
103,0,0,0,0.0,0.0,0.0,0.0,0,1
104,0,0,0,0.0,0.0,0.0,0.0,0,1
105,0,0,0,24.0,16.8,2.0,4.3,90,1
106,0,0,0,0.0,0.0,0.0,0.0,0,1
107,0,0,0,23.2,19.7,47.0,9.0,90,1
