,code,element_type,event_points,first_name,form,id,now_cost,points_per_game,second_name,selected_by_percent,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
0,69140,2,1,Shkodran,4.3,1,51,3.2,Mustafi,0.4,a,1,3,26,14462,780,36185,523,0.8,5.1,Mustafi,620,0,2,2,9,0,0,0,0,0,0,1,144,174.2,15.4,107.0,29.8
1,98745,2,1,Hector,5.0,2,54,3.4,Bellerin,1.0,a,1,3,24,109934,3136,55091,6375,0.9,4.4,Bellerín,622,1,0,2,10,0,0,0,2,0,0,3,113,116.6,37.7,38.0,19.4
2,111457,2,1,Sead,0.3,3,52,2.1,Kolasinac,0.5,i,1,3,35,55447,35,126724,415,0.1,6.7,Kolasinac,1103,0,2,2,19,0,0,0,3,0,0,1,222,190.0,157.3,67.0,41.2
3,154043,2,0,Ainsley,0.0,4,45,2.6,Maitland-Niles,2.4,a,1,3,36,589926,200,623119,2761,0.0,8.0,Maitland-Niles,1210,0,2,3,19,0,0,0,3,1,0,3,216,261.8,155.4,37.0,44.9
4,39476,2,0,Sokratis,0.0,5,48,2.9,Papastathopoulos,1.3,a,1,3,52,144058,211,190471,1744,0.0,10.8,Sokratis,1606,2,0,3,25,0,0,0,5,0,0,5,286,431.6,31.8,106.0,57.1
5,38411,2,0,Nacho,0.0,6,50,3.3,Monreal,0.2,u,1,3,10,28152,6,88908,30,0.0,2.0,Monreal,270,0,0,1,4,0,0,0,0,0,0,1,54,47.2,40.8,12.0,10.0
6,51507,2,0,Laurent,0.0,7,50,0.0,Koscielny,0.1,u,1,3,0,620,8,12709,13,0.0,0.0,Koscielny,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
7,233963,2,0,Konstantinos,0.0,8,44,0.0,Mavropanos,0.0,n,1,3,0,1095,1,4862,15,0.0,0.0,Mavropanos,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
8,80254,2,0,Carl,0.0,9,45,0.0,Jenkinson,0.0,u,1,3,0,430,4,2599,6,0.0,0.0,Jenkinson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
9,156074,2,0,Rob,0.0,10,45,1.0,Holding,0.1,a,1,3,2,12006,39,14696,131,0.0,0.4,Holding,85,0,0,0,3,0,0,0,0,0,0,0,13,13.4,0.4,2.0,1.6
10,54694,4,13,Pierre-Emerick,7.7,11,109,6.0,Aubameyang,19.0,a,1,3,150,2345530,140121,2835414,52060,0.7,13.8,Aubameyang,2213,17,3,6,33,0,0,0,3,1,0,29,589,734.4,347.3,973.0,205.3
11,59966,4,0,Alexandre,3.7,12,93,3.7,Lacazette,2.1,a,1,3,71,316041,2932,430813,12402,0.4,7.6,Lacazette,1280,6,4,3,18,0,0,0,5,0,0,7,245,346.0,275.2,647.0,127.0
12,205533,4,7,Edward,3.3,13,43,2.8,Nketiah,0.8,a,1,3,11,77635,10476,129008,2196,0.8,2.6,Nketiah,191,1,0,1,3,0,0,0,0,0,0,1,29,32.6,17.0,78.0,12.8
