id,name,deadline_time,average_entry_score,finished,deadline_time_epoch,highest_score,chip_plays,most_selected,most_transferred_in,top_element,transfers_made,most_captained,most_vice_captained,top_element_info.id,top_element_info.points
1,Gameweek 1,2019-08-09T18:00:00Z,65,True,1565373600,142.0,"[{'chip_name': 'bboost', 'num_played': 128770}, {'chip_name': '3xc', 'num_played': 271367}]",183,1,214,0,191,189,214,20.0
2,Gameweek 2,2019-08-17T10:30:00Z,41,True,1566037800,119.0,"[{'chip_name': 'bboost', 'num_played': 114585}, {'chip_name': 'freehit', 'num_played': 89437}, {'chip_name': 'wildcard', 'num_played': 263066}, {'chip_name': '3xc', 'num_played': 216711}]",183,235,278,9998839,191,214,278,17.0
3,Gameweek 3,2019-08-23T18:00:00Z,44,True,1566583200,107.0,"[{'chip_name': 'bboost', 'num_played': 79958}, {'chip_name': 'freehit', 'num_played': 104304}, {'chip_name': 'wildcard', 'num_played': 414347}, {'chip_name': '3xc', 'num_played': 166101}]",183,278,191,13387638,214,191,191,15.0
4,Gameweek 4,2019-08-31T10:30:00Z,57,True,1567247400,136.0,"[{'chip_name': 'bboost', 'num_played': 72741}, {'chip_name': 'freehit', 'num_played': 108397}, {'chip_name': 'wildcard', 'num_played': 429973}, {'chip_name': '3xc', 'num_played': 198605}]",183,278,166,13215999,214,191,166,16.0
5,Gameweek 5,2019-09-14T10:30:00Z,52,True,1568457000,128.0,"[{'chip_name': 'bboost', 'num_played': 58835}, {'chip_name': 'freehit', 'num_played': 97679}, {'chip_name': 'wildcard', 'num_played': 410196}, {'chip_name': '3xc', 'num_played': 186316}]",183,243,342,12363678,191,214,342,16.0
6,Gameweek 6,2019-09-20T18:00:00Z,52,True,1569002400,141.0,"[{'chip_name': 'bboost', 'num_played': 47670}, {'chip_name': 'freehit', 'num_played': 66453}, {'chip_name': 'wildcard', 'num_played': 219869}, {'chip_name': '3xc', 'num_played': 101101}]",183,460,218,7987314,214,191,218,19.0
7,Gameweek 7,2019-09-28T10:30:00Z,51,True,1569666600,118.0,"[{'chip_name': 'bboost', 'num_played': 65678}, {'chip_name': 'freehit', 'num_played': 70455}, {'chip_name': 'wildcard', 'num_played': 225098}, {'chip_name': '3xc', 'num_played': 94246}]",183,460,401,9336557,191,215,401,15.0
8,Gameweek 8,2019-10-05T10:30:00Z,36,True,1570271400,100.0,"[{'chip_name': 'bboost', 'num_played': 54626}, {'chip_name': 'freehit', 'num_played': 80423}, {'chip_name': 'wildcard', 'num_played': 123551}, {'chip_name': '3xc', 'num_played': 67069}]",183,217,417,7457686,214,191,417,16.0
9,Gameweek 9,2019-10-19T10:30:00Z,37,True,1571481000,98.0,"[{'chip_name': 'bboost', 'num_played': 57241}, {'chip_name': 'freehit', 'num_played': 63751}, {'chip_name': 'wildcard', 'num_played': 187805}, {'chip_name': '3xc', 'num_played': 60602}]",183,192,103,8197899,210,214,103,14.0
10,Gameweek 10,2019-10-25T18:00:00Z,49,True,1572026400,138.0,"[{'chip_name': 'bboost', 'num_played': 40195}, {'chip_name': 'freehit', 'num_played': 34327}, {'chip_name': 'wildcard', 'num_played': 79941}, {'chip_name': '3xc', 'num_played': 48433}]",183,215,265,5154940,214,214,265,20.0
11,Gameweek 11,2019-11-02T11:30:00Z,53,True,1572694200,134.0,"[{'chip_name': 'bboost', 'num_played': 58131}, {'chip_name': 'freehit', 'num_played': 50357}, {'chip_name': 'wildcard', 'num_played': 112730}, {'chip_name': '3xc', 'num_played': 126194}]",460,166,297,7319811,214,215,297,21.0
12,Gameweek 12,2019-11-08T19:00:00Z,48,True,1573239600,119.0,"[{'chip_name': 'bboost', 'num_played': 50200}, {'chip_name': 'freehit', 'num_played': 76548}, {'chip_name': 'wildcard', 'num_played': 92282}, {'chip_name': '3xc', 'num_played': 33711}]",460,431,84,6661058,460,192,84,12.0
13,Gameweek 13,2019-11-23T11:30:00Z,49,True,1574508600,124.0,"[{'chip_name': 'bboost', 'num_played': 41581}, {'chip_name': 'freehit', 'num_played': 73811}, {'chip_name': 'wildcard', 'num_played': 141943}, {'chip_name': '3xc', 'num_played': 60669}]",460,166,84,8018067,166,192,84,17.0
14,Gameweek 14,2019-11-30T11:30:00Z,51,True,1575113400,124.0,"[{'chip_name': 'bboost', 'num_played': 43934}, {'chip_name': 'freehit', 'num_played': 58376}, {'chip_name': 'wildcard', 'num_played': 107335}, {'chip_name': '3xc', 'num_played': 85856}]",297,409,183,6995827,166,192,183,17.0
15,Gameweek 15,2019-12-03T18:30:00Z,49,True,1575397800,117.0,"[{'chip_name': 'bboost', 'num_played': 60471}, {'chip_name': 'freehit', 'num_played': 29791}, {'chip_name': 'wildcard', 'num_played': 50012}, {'chip_name': '3xc', 'num_played': 96456}]",166,70,192,4393166,166,192,192,15.0
16,Gameweek 16,2019-12-07T11:30:00Z,54,True,1575718200,127.0,"[{'chip_name': 'bboost', 'num_played': 70638}, {'chip_name': 'freehit', 'num_played': 30670}, {'chip_name': 'wildcard', 'num_played': 57853}, {'chip_name': '3xc', 'num_played': 45872}]",166,344,338,5239833,166,192,338,16.0
