id,code,name,short_name,strength,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away
1,3,Arsenal,ARS,4,1230,1270,1150,1190,1280,1330
2,7,Aston Villa,AVL,2,1040,1080,1030,1060,1030,1050
3,91,Bournemouth,BOU,3,1090,1120,1030,1070,1110,1180
4,36,Brighton,BHA,3,1050,1120,1040,1160,1030,1130
5,90,Burnley,BUR,3,1050,1110,1060,1130,1050,1050
6,8,Chelsea,CHE,4,1270,1300,1200,1320,1310,1350
7,31,Crystal Palace,CRY,3,1110,1100,1060,1130,1040,1020
8,11,Everton,EVE,3,1100,1160,1110,1190,1090,1160
9,13,Leicester,LEI,4,1230,1280,1180,1240,1110,1190
10,14,Liverpool,LIV,5,1340,1360,1300,1330,1340,1370
11,43,Man City,MCI,5,1320,1350,1270,1330,1350,1370
12,1,Man Utd,MUN,4,1250,1300,1270,1310,1280,1340
13,4,Newcastle,NEW,3,1080,1110,1040,1090,1020,1030
14,45,Norwich,NOR,2,990,1030,990,1000,1030,1100
15,49,Sheffield Utd,SHU,3,1140,1190,1150,1190,1060,1110
16,20,Southampton,SOU,2,1050,1040,1010,1010,1050,1040
17,6,Spurs,TOT,4,1240,1280,1210,1290,1280,1290
18,57,Watford,WAT,3,1070,1090,1080,1120,1040,1120
19,21,West Ham,WHU,3,1070,1100,1050,1060,1120,1150
20,39,Wolves,WOL,3,1130,1170,1110,1120,1080,1140
