id,code,event,kickoff_time,team_a,team_a_score,team_h,team_h_score,team_h_difficulty,team_a_difficulty
21,1059723,3,2019-08-23T19:00:00Z,8,0,2,2,2,2
26,1059727,3,2019-08-24T11:30:00Z,6,3,14,2,4,2
23,1059724,3,2019-08-24T14:00:00Z,16,2,4,0,2,3
25,1059726,3,2019-08-24T14:00:00Z,7,2,12,1,3,4
27,1059728,3,2019-08-24T14:00:00Z,9,2,15,1,4,3
29,1059730,3,2019-08-24T14:00:00Z,19,3,18,1,2,2
24,1059725,3,2019-08-24T16:30:00Z,1,1,10,3,4,5
22,1059722,3,2019-08-25T13:00:00Z,11,3,3,1,4,3
28,1059729,3,2019-08-25T15:30:00Z,13,1,17,0,2,4
30,1059731,3,2019-08-25T15:30:00Z,5,1,20,1,2,3
