,id,code,event,kickoff_time,team_a,team_a_score,team_h,team_h_score,team_h_difficulty,team_a_difficulty
0,1,1059702,1,2019-08-09T19:00:00Z,14,1,10,4,2,5
1,8,1059709,1,2019-08-10T11:30:00Z,11,5,19,0,4,2
2,2,1059703,1,2019-08-10T14:00:00Z,15,1,3,1,3,3
3,3,1059704,1,2019-08-10T14:00:00Z,16,0,5,3,2,3
4,4,1059705,1,2019-08-10T14:00:00Z,8,0,7,0,2,2
5,7,1059708,1,2019-08-10T14:00:00Z,4,3,18,0,2,2
6,6,1059707,1,2019-08-10T16:30:00Z,2,1,17,3,2,4
7,5,1059706,1,2019-08-11T13:00:00Z,20,0,9,0,3,4
8,10,1059711,1,2019-08-11T13:00:00Z,1,1,13,0,4,3
9,9,1059710,1,2019-08-11T15:30:00Z,6,0,12,4,4,4
0,11,1059712,2,2019-08-17T11:30:00Z,5,1,1,2,2,4
1,12,1059713,2,2019-08-17T14:00:00Z,3,2,2,1,2,2
2,13,1059714,2,2019-08-17T14:00:00Z,19,1,4,1,2,3
3,15,1059716,2,2019-08-17T14:00:00Z,18,0,8,1,2,3
4,17,1059718,2,2019-08-17T14:00:00Z,13,1,14,3,2,2
5,19,1059720,2,2019-08-17T14:00:00Z,10,2,16,1,4,2
6,16,1059717,2,2019-08-17T16:30:00Z,17,2,11,2,4,5
7,18,1059719,2,2019-08-18T13:00:00Z,7,0,15,1,3,3
8,14,1059715,2,2019-08-18T15:30:00Z,9,1,6,1,4,4
9,20,1059721,2,2019-08-19T19:00:00Z,12,1,20,1,4,3
0,21,1059723,3,2019-08-23T19:00:00Z,8,0,2,2,2,2
1,26,1059727,3,2019-08-24T11:30:00Z,6,3,14,2,4,2
2,23,1059724,3,2019-08-24T14:00:00Z,16,2,4,0,2,3
3,25,1059726,3,2019-08-24T14:00:00Z,7,2,12,1,3,4
4,27,1059728,3,2019-08-24T14:00:00Z,9,2,15,1,4,3
5,29,1059730,3,2019-08-24T14:00:00Z,19,3,18,1,2,2
6,24,1059725,3,2019-08-24T16:30:00Z,1,1,10,3,4,5
7,22,1059722,3,2019-08-25T13:00:00Z,11,3,3,1,4,3
8,28,1059729,3,2019-08-25T15:30:00Z,13,1,17,0,2,4
9,30,1059731,3,2019-08-25T15:30:00Z,5,1,20,1,2,3
0,39,1059740,4,2019-08-31T11:30:00Z,12,1,16,1,4,2
1,33,1059734,4,2019-08-31T14:00:00Z,15,2,6,2,3,4
2,34,1059735,4,2019-08-31T14:00:00Z,2,0,7,1,2,2
3,36,1059737,4,2019-08-31T14:00:00Z,3,1,9,3,2,4
4,37,1059738,4,2019-08-31T14:00:00Z,4,0,11,4,2,5
5,38,1059739,4,2019-08-31T14:00:00Z,18,1,13,1,2,3
6,40,1059741,4,2019-08-31T14:00:00Z,14,0,19,2,2,2
7,32,1059733,4,2019-08-31T16:30:00Z,10,3,5,0,4,3
8,35,1059736,4,2019-09-01T13:00:00Z,20,2,8,3,3,3
9,31,1059732,4,2019-09-01T15:30:00Z,17,2,1,2,4,4
0,44,1059745,5,2019-09-14T11:30:00Z,13,1,10,3,2,5
1,43,1059744,5,2019-09-14T14:00:00Z,5,1,4,1,2,3
2,45,1059746,5,2019-09-14T14:00:00Z,9,0,12,1,4,4
3,47,1059748,5,2019-09-14T14:00:00Z,16,1,15,0,2,3
4,48,1059749,5,2019-09-14T14:00:00Z,7,0,17,4,3,4
5,50,1059751,5,2019-09-14T14:00:00Z,6,5,20,2,4,3
6,46,1059747,5,2019-09-14T16:30:00Z,11,2,14,3,4,2
7,42,1059742,5,2019-09-15T13:00:00Z,8,1,3,3,2,3
8,49,1059750,5,2019-09-15T15:30:00Z,1,2,18,2,4,2
9,41,1059743,5,2019-09-16T19:00:00Z,19,0,2,0,2,2
0,59,1059760,6,2019-09-20T19:00:00Z,3,3,16,1,2,2
1,56,1059757,6,2019-09-21T11:30:00Z,17,1,9,2,4,4
2,52,1059753,6,2019-09-21T14:00:00Z,14,0,5,2,2,3
3,55,1059756,6,2019-09-21T14:00:00Z,15,2,8,0,3,3
4,57,1059758,6,2019-09-21T14:00:00Z,18,0,11,8,2,5
5,58,1059759,6,2019-09-21T16:30:00Z,4,0,13,0,2,3
6,54,1059755,6,2019-09-22T13:00:00Z,20,1,7,1,3,2
7,60,1059761,6,2019-09-22T13:00:00Z,12,0,19,2,4,2
8,51,1059752,6,2019-09-22T15:30:00Z,2,2,1,3,2,4
9,53,1059754,6,2019-09-22T15:30:00Z,10,2,6,1,4,4
0,68,1059769,7,2019-09-28T11:30:00Z,10,1,15,0,4,3
1,61,1059763,7,2019-09-28T14:00:00Z,5,2,2,2,2,2
2,62,1059762,7,2019-09-28T14:00:00Z,19,2,3,2,2,3
3,63,1059764,7,2019-09-28T14:00:00Z,4,0,6,2,2,4
4,64,1059765,7,2019-09-28T14:00:00Z,14,0,7,2,2,2
5,69,1059770,7,2019-09-28T14:00:00Z,16,1,17,2,2,4
6,70,1059771,7,2019-09-28T14:00:00Z,18,0,20,2,2,3
7,65,1059766,7,2019-09-28T16:30:00Z,11,3,8,1,4,3
8,66,1059767,7,2019-09-29T15:30:00Z,13,0,9,5,2,4
9,67,1059768,7,2019-09-30T19:00:00Z,1,1,12,1,4,4
0,72,1059773,8,2019-10-05T11:30:00Z,17,0,4,3,4,3
1,73,1059774,8,2019-10-05T14:00:00Z,8,0,5,1,2,3
2,74,1059775,8,2019-10-05T14:00:00Z,9,1,10,2,4,5
3,77,1059778,8,2019-10-05T14:00:00Z,2,5,14,1,2,2
4,79,1059780,8,2019-10-05T14:00:00Z,15,0,18,0,3,2
5,80,1059781,8,2019-10-05T16:30:00Z,7,2,19,1,3,2
6,71,1059772,8,2019-10-06T13:00:00Z,3,0,1,1,2,4
7,75,1059776,8,2019-10-06T13:00:00Z,20,2,11,0,3,5
8,78,1059779,8,2019-10-06T13:00:00Z,6,4,16,1,4,2
9,76,1059777,8,2019-10-06T15:30:00Z,12,0,13,1,4,3
0,85,1059786,9,2019-10-19T11:30:00Z,19,0,8,2,2,3
1,81,1059783,9,2019-10-19T14:00:00Z,4,1,2,2,2,2
2,82,1059782,9,2019-10-19T14:00:00Z,14,0,3,0,2,3
3,83,1059784,9,2019-10-19T14:00:00Z,13,0,6,1,2,4
4,86,1059787,9,2019-10-19T14:00:00Z,5,1,9,2,2,4
5,89,1059790,9,2019-10-19T14:00:00Z,18,1,17,1,2,4
6,90,1059791,9,2019-10-19T14:00:00Z,16,1,20,1,2,3
7,84,1059785,9,2019-10-19T16:30:00Z,11,2,7,0,4,2
8,87,1059788,9,2019-10-20T15:30:00Z,10,1,12,1,4,4
9,88,1059789,9,2019-10-21T19:00:00Z,1,0,15,1,4,3
0,98,1059799,10,2019-10-25T19:00:00Z,9,9,16,0,4,2
1,95,1059796,10,2019-10-26T11:30:00Z,2,0,11,3,2,5
2,92,1059793,10,2019-10-26T14:00:00Z,8,2,4,3,2,3
3,99,1059800,10,2019-10-26T14:00:00Z,3,0,18,0,2,2
4,100,1059801,10,2019-10-26T14:00:00Z,15,1,19,1,3,2
5,93,1059794,10,2019-10-26T16:30:00Z,6,4,5,2,4,3
6,96,1059797,10,2019-10-27T14:00:00Z,20,1,13,1,3,3
7,91,1059792,10,2019-10-27T16:30:00Z,7,2,1,2,3,4
8,94,1059795,10,2019-10-27T16:30:00Z,17,1,10,2,4,5
9,97,1059798,10,2019-10-27T16:30:00Z,12,3,14,1,4,2
0,103,1059802,11,2019-11-02T12:30:00Z,12,0,3,1,4,3
1,101,1059803,11,2019-11-02T15:00:00Z,20,1,1,1,3,4
2,102,1059804,11,2019-11-02T15:00:00Z,10,2,2,1,4,2
3,104,1059805,11,2019-11-02T15:00:00Z,14,0,4,2,2,3
4,107,1059808,11,2019-11-02T15:00:00Z,16,1,11,2,2,5
5,108,1059809,11,2019-11-02T15:00:00Z,5,0,15,3,2,3
6,110,1059811,11,2019-11-02T15:00:00Z,13,3,19,2,2,2
7,109,1059810,11,2019-11-02T17:30:00Z,6,2,18,1,4,2
