,id,name
0,1,Shkodran Mustafi
1,2,Hector Bellerin
2,3,Sead Kolasinac
3,4,Ainsley Maitland-Niles
4,5,Sokratis
5,6,Nacho Monreal
6,7,Laurent Koscielny
7,8,Konstantinos Mavropanos
8,9,Carl Jenkinson
9,10,Rob Holding
10,11,Pierre-Emerick Aubameyang
11,12,Alexandre Lacazette
12,13,Eddie Nketiah
13,14,Bernd Leno
14,15,Mesut Ozil
15,16,Henrikh Mkhitaryan
16,18,Granit Xhaka
17,19,Lucas Torreira
18,20,Mohamed Elneny
19,21,Matteo Guendouzi
20,106,David Luiz
21,427,Emiliano Martinez
22,467,Calum Chambers
23,469,Dani Ceballos
24,486,Cedric Soares
25,488,Nicolas Pepe
26,489,Reiss Nelson
27,490,Joe Willock
28,504,Gabriel Martinelli
29,515,Kieran Tierney
30,541,Bukayo Saka
31,576,Emile Smith-Rowe
32,585,Tyreece John-Jules
33,617,Pablo Mari
34,22,Ahmed Elmohamady
35,23,James Chester
36,24,Neil Taylor
37,25,Kortney Hause
38,26,Jonathan Kodjia
39,27,rjan Nyland
40,28,Conor Hourihane
41,29,Jack Grealish
42,30,Anwar El Ghazi
43,31,John McGinn
44,32,Andre Green
45,33,Birkir Bjarnason
46,34,Keinan Davis
47,35,Henri Lansbury
48,36,Jota
49,94,Tom Heaton
50,120,Daniel Drinkwater
51,309,Matt Targett
52,428,Wesley
53,429,Jed Steer
54,445,Tyrone Mings
55,452,Ezri Konsa Ngoyo
56,455,Bjorn Engels
57,458,Frederic Guilbert
58,465,Trezeguet
59,470,Douglas Luiz
60,474,Lovre Kalinic
61,491,Marvelous Nakamba
62,600,Indiana Vassilev
63,603,Jose Reina
64,613,Mbwana Samatta
65,623,Borja Baston
66,58,Steve Cook
67,59,Nathan Ake
68,60,Charlie Daniels
69,61,Chris Mepham
70,62,Simon Francis
71,63,Adam Smith
72,64,Lloyd Kelly
73,65,Diego Rico
74,66,Jack Simpson
75,67,Callum Wilson
76,68,Joshua King
77,69,Dominic Solanke
78,71,Sam Surridge
79,72,Asmir Begovic
80,73,Artur Boruc
81,74,Mark Travers
82,75,Ryan Fraser
83,76,David Brooks
84,77,Junior Stanislas
85,78,Jordon Ibe
86,79,Lewis Cook
87,80,Andrew Surman
88,81,Dan Gosling
89,82,Jefferson Lerma
90,446,Jack Stacey
91,476,Philip Billing
92,492,Arnaut Danjuma Groeneveld
93,494,Aaron Ramsdale
94,505,Harry Wilson
95,564,Christian Saydee
96,565,Gavin Kilkenny
97,574,Mihai-Alexandru Dobre
98,37,Shane Duffy
99,38,Martin Montoya
100,39,Bernardo
101,40,Leon Balogun
102,41,Gaetan Bong
103,42,Lewis Dunk
104,43,Matthew Clarke
105,44,Glenn Murray
106,45,Jurgen Locadia
107,46,Florin Andone
108,47,Mat Ryan
109,48,David Button
110,49,Pascal Gro
111,50,Alireza Jahanbakhsh
112,51,Jose Heriberto Izquierdo Mena
113,52,Anthony Knockaert
114,53,Yves Bissouma
115,54,Davy Propper
116,55,Solly March
117,56,Beram Kayal
118,57,Dale Stephens
119,421,Leandro Trossard
120,475,Dan Burn
121,493,Adam Webster
122,502,Neal Maupay
123,516,Aaron Mooy
124,534,Aaron Connolly
125,536,Tudor Baluta
126,537,Steven Alzate
127,546,Ezequiel Schelotto
128,586,Tariq Lamptey
129,627,Alexis Mac Allister
130,83,Ben Mee
131,84,James Tarkowski
132,85,Matthew Lowton
