,Team,First Name,Last Name,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,name,gw
0,Liverpool,Sadio,Mane,M,1,90,1,0,2.0,1.0,0.66,0.04,Sadio Mane,20
1,Liverpool,Roberto,Firmino,M,1,90,0,0,3.0,0.0,0.25,0.0,Roberto Firmino,20
2,Liverpool,Divock,Origi,S,1,1,0,0,0.0,0.0,0.0,0.0,Divock Origi,20
3,Liverpool,Adam,Lallana,M,1,72,0,1,0.0,1.25,0.0,0.53,Adam Lallana,20
4,Liverpool,James,Milner,S,1,1,0,0,0.0,0.0,0.0,0.0,James Milner,20
5,Liverpool,Jordan,Henderson,M,1,90,0,0,0.0,1.0,0.0,0.12,Jordan Henderson,20
6,Liverpool,Georginio,Wijnaldum,M,1,90,0,0,2.0,0.0,0.09,0.0,Georginio Wijnaldum,20
7,Liverpool,Virgil,van Dijk,D,1,90,0,0,0.0,0.0,0.0,0.0,Virgil van Dijk,20
8,Liverpool,Joseph,Gomez,D,1,90,0,0,0.0,0.0,0.0,0.0,Joseph Gomez,20
9,Liverpool,Mohamed,Salah,F,1,90,0,0,2.0,3.0,0.47,0.21,Mohamed Salah,20
10,Liverpool,Alisson,,GK,1,90,0,0,0.0,0.0,0.0,0.0,Alisson,20
11,Liverpool,Andrew,Robertson,D,1,90,0,0,0.0,1.0,0.0,0.06,Andrew Robertson,20
12,Liverpool,Trent,Alexander-Arnold,D,1,90,0,0,1.0,2.0,0.02,0.44,Trent Alexander-Arnold,20
13,Liverpool,Naby,Keita,S,1,18,0,0,0.0,0.0,0.0,0.0,Naby Keita,20
14,Manchester City,Kevin,De Bruyne,M,1,90,1,1,5.0,1.0,0.27,0.33,Kevin De Bruyne,20
15,Manchester City,Sergio,Aguero,F,1,82,1,0,2.2,0.0,0.38,0.0,Sergio Aguero,20
16,Manchester City,Ilkay,Gundogan,S,1,27,0,0,0.0,0.0,0.0,0.0,Ilkay Gundogan,20
17,Manchester City,Fernandinho,,D,1,90,0,0,0.0,0.0,0.0,0.0,Fernandinho,20
18,Manchester City,Raheem,Sterling,F,1,89,0,0,1.01,2.02,0.01,0.17,Raheem Sterling,20
19,Manchester City,Kyle,Walker,D,1,90,0,0,1.0,0.0,0.02,0.0,Kyle Walker,20
20,Manchester City,Riyad,Mahrez,F,1,90,0,1,3.0,2.0,0.26,0.14,Riyad Mahrez,20
21,Manchester City,Claudio,Bravo,GK,1,90,0,0,0.0,0.0,0.0,0.0,Claudio Bravo,20
22,Manchester City,Rodri,,M,1,90,0,0,1.0,2.0,0.04,0.1,Rodri,20
23,Manchester City,Oleksandr,Zinchenko,D,1,90,0,0,2.0,2.0,0.06,0.04,Oleksandr Zinchenko,20
24,Manchester City,Bernardo,Silva,M,1,63,0,0,0.0,4.29,0.0,0.07,Bernardo Silva,20
25,Manchester City,Gabriel,Jesus,S,1,1,0,0,0.0,90.0,0.0,0.04,Gabriel Jesus,20
26,Manchester City,Phil,Foden,S,1,8,0,0,11.25,0.0,0.04,0.0,Phil Foden,20
27,Manchester City,Eric,Garcia,D,1,90,0,0,0.0,0.0,0.0,0.0,Eric Garcia,20
28,Leicester,Kelechi,Iheanacho,F,1,90,1,0,2.0,1.0,0.58,0.1,Kelechi Iheanacho,20
29,Leicester,Demarai,Gray,M,1,86,1,0,3.14,1.05,1.21,0.45,Demarai Gray,20
30,Leicester,Kasper,Schmeichel,GK,1,90,0,0,0.0,0.0,0.0,0.0,Kasper Schmeichel,20
31,Leicester,Wes,Morgan,D,1,90,0,0,2.0,0.0,0.5,0.0,Wes Morgan,20
32,Leicester,Christian,Fuchs,D,1,90,0,0,2.0,0.0,0.09,0.0,Christian Fuchs,20
33,Leicester,Marc,Albrighton,M,1,90,0,0,1.0,1.0,0.07,0.02,Marc Albrighton,20
34,Leicester,Ayoze,Perez,M,1,67,0,2,0.0,2.69,0.0,0.88,Ayoze Perez,20
35,Leicester,Jonny,Evans,D,1,90,0,0,0.0,0.0,0.0,0.0,Jonny Evans,20
36,Leicester,Nampalys,Mendy,M,1,73,0,0,0.0,1.23,0.0,0.06,Nampalys Mendy,20
37,Leicester,Wilfred,Ndidi,S,1,17,0,0,0.0,0.0,0.0,0.0,Wilfred Ndidi,20
38,Leicester,Hamza,Choudhury,M,1,90,0,0,1.0,0.0,0.08,0.0,Hamza Choudhury,20
39,Leicester,Harvey,Barnes,S,1,4,0,0,22.5,22.5,0.08,0.08,Harvey Barnes,20
40,Leicester,James,Maddison,S,1,23,0,0,3.91,7.83,0.02,0.09,James Maddison,20
