,id,name,Team,First Name,Last Name,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,gw
0,3,Sead Kolasinac,Arsenal,Sead,Kolasinac,D,1,39,0,0,0.0,0.0,0.0,0.0,17
1,4,Ainsley Maitland-Niles,Arsenal,Ainsley,Maitland-Niles,D,1,90,0,0,0.0,1.0,0.0,0.08,17
2,5,Sokratis,Arsenal,Sokratis,,D,1,90,0,0,0.0,0.0,0.0,0.0,17
3,11,Pierre-Emerick Aubameyang,Arsenal,Pierre-Emerick,Aubameyang,F,1,90,0,0,2.0,0.0,0.1,0.0,17
4,14,Bernd Leno,Arsenal,Bernd,Leno,GK,1,90,0,0,0.0,0.0,0.0,0.0,17
5,15,Mesut Ozil,Arsenal,Mesut,Ozil,M,1,62,0,0,0.0,1.45,0.0,0.02,17
6,19,Lucas Torreira,Arsenal,Lucas,Torreira,M,1,84,0,0,1.07,1.07,0.02,0.02,17
7,21,Matteo Guendouzi,Arsenal,Matteo,Guendouzi,M,1,90,0,0,1.0,0.0,0.04,0.0,17
8,467,Calum Chambers,Arsenal,Calum,Chambers,D,1,90,0,0,0.0,0.0,0.0,0.0,17
9,486,Cedric Soares,Southampton,Cedric,Soares,D,1,89,0,0,1.01,2.02,0.02,0.14,17
10,488,Nicolas Pepe,Arsenal,Nicolas,Pepe,M,1,90,0,0,1.0,0.0,0.04,0.0,17
11,490,Joe Willock,Arsenal,Joe,Willock,S,1,6,0,0,0.0,0.0,0.0,0.0,17
12,504,Gabriel Martinelli,Arsenal,Gabriel,Martinelli,M,1,90,0,0,1.0,0.0,0.09,0.0,17
13,541,Bukayo Saka,Arsenal,Bukayo,Saka,S,1,51,0,0,0.0,0.0,0.0,0.0,17
14,576,Emile Smith-Rowe,Arsenal,Emile,Smith-Rowe,S,1,28,0,0,0.0,0.0,0.0,0.0,17
15,25,Kortney Hause,Aston Villa,Kortney,Hause,D,1,90,0,0,1.0,0.0,0.01,0.0,17
16,26,Jonathan Kodjia,Aston Villa,Jonathan,Kodjia,S,1,19,0,0,0.0,0.0,0.0,0.0,17
17,29,Jack Grealish,Aston Villa,Jack,Grealish,F,1,90,0,0,4.0,1.0,0.87,0.02,17
18,30,Anwar El Ghazi,Aston Villa,Anwar,El Ghazi,F,1,82,0,0,1.1,2.2,0.02,0.1,17
19,31,John McGinn,Aston Villa,John,McGinn,M,1,90,0,0,0.0,3.0,0.0,0.05,17
20,35,Henri Lansbury,Aston Villa,Henri,Lansbury,M,1,68,0,0,0.0,0.0,0.0,0.0,17
21,94,Tom Heaton,Aston Villa,Tom,Heaton,GK,1,90,0,0,0.0,0.0,0.0,0.0,17
22,309,Matt Targett,Aston Villa,Matt,Targett,D,1,90,0,0,0.0,1.0,0.0,0.05,17
23,428,Wesley,Aston Villa,Wesley,,F,1,71,0,0,1.27,0.0,0.05,0.0,17
